temperature,humidity,pressure,wind_speed,cloud_cover,rain_occurred
28.5,85,1008.2,14.5,80,1
32.1,65,1012.0,8.2,30,0
26.4,92,1005.1,22.0,95,1
35.0,45,1014.5,5.1,10,0
29.8,78,1009.8,12.4,65,1
31.2,70,1011.2,10.0,40,0
24.8,96,1003.5,28.2,100,1
33.5,50,1013.8,7.5,20,0
27.9,88,1007.6,18.9,85,1
30.5,72,1010.5,11.2,50,0
25.9,94,1004.8,25.1,90,1
34.1,48,1014.1,6.8,15,0
28.1,84,1008.5,15.2,75,1
32.8,62,1012.4,9.0,35,0
23.5,98,1002.1,32.0,100,1
36.2,40,1015.2,4.5,5,0
27.2,90,1006.8,20.5,90,1
29.5,75,1010.1,12.0,55,0
26.8,91,1006.0,19.8,88,1
33.0,52,1013.2,8.0,25,0
28.9,82,1009.0,13.8,70,1
31.8,67,1011.8,9.5,45,0
25.2,95,1004.2,26.5,98,1
34.8,43,1014.8,5.8,12,0
27.5,87,1007.2,17.5,82,1
30.0,73,1010.8,10.8,48,0
26.1,93,1005.5,23.4,92,1
33.9,49,1013.9,7.1,18,0
28.4,86,1008.1,14.8,78,1
32.5,64,1012.2,8.8,32,0
24.1,97,1003.0,30.0,100,1
35.8,42,1015.0,4.8,8,0
27.0,89,1006.5,21.0,88,1
29.8,76,1010.0,11.8,52,0
26.5,92,1005.8,20.0,91,1
33.2,51,1013.5,7.8,22,0
